company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
C2FO,20,2,12/9/2022,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private,
VideoAmp,Unclear,2,9/19/2022,Advertising platforms,Los Angeles,Company memo,Private,
Amperity,13,3,8/20/2022,"Saas, analytics",Seattle,Geekwire,Private,
Addepar,20,3,1/18/2023,"fintech, data analytics","Mountain View, CA",Fortune,Private,
Thirty Madison,24,3,5/13/2022,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees."
NextRoll,Unclear,3,7/8/2022,Marketing Tech,San Francisco,Business Insider,Private,
Armis Security,25,4,12/8/2022,Cybersecurity,San Francisco,Calcalistech,Private,
Foxtrot,26,4,9/23/2022,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
Headspace Health,50,4,12/14/2022,"telehealth, wellness",Los Angeles,Bloomberg,Private,
RealSelf,11,5,7/21/2022,Beauty tech,Seattle,GeekWire,Private,
New Relic,110,5,8/18/2022,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
Abra,12,5,6/30/2022,Crypto,Mountain View,The Block,Private,
Clarify Health,15,5,7/22/2022,Health Care,San Francisco,Axios,Private,
Argo AI,150,5,7/7/2022,Transportation,Pittsburgh,TechCrunch,Private,
Snyk,220,5,10/24/2022,Cybersecurity,Boston,Globes,Private,
JOKR,50,5,6/16/2022,"Food delivery, ecommerce",New York,TechCrunch,Private,
Project44,63,5,7/15/2022,Logistics,Chicago,FreightWaves,Private,
Reef,750,5,5/6/2022,"Food delivery, ecommerce",Miami,The Information,Private,
Outreach,Unclear,5,8/2/2022,Sales Tech,Seattle,LinkedIn,Private,
Boosted Commerce,Unclear,5,7/25/2022,E-commerce,Los Angeles,Business Insider,Private,
Forward,Unclear,5,7/11/2022,Health Care,San Francisco,Fierce Healthcare,Private,
CoinDCX,100,6,1/11/2023,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,
Food52,20,6,4/8/2022,"Media, E-commerce",New York,Digiday,Private,
Motive,237,6,12/7/2022,"enterprise software, productivity",San Francisco,Motive,Private,
